Timestamp,"Place 1","Lat 1","Lon 1","Place 2","Lat 2","Lon 2","Distance (km)"
"2025-10-26 22:56:49","Vancouver Island, British Columbia, Canada",49.5929495,-125.7025570,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139520,190.81
"2025-11-03 11:34:12",Dhaka,23.7643863,90.3890144,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139520,11243.07
"2025-11-03 11:34:46","ঢাকা, ঢাকা মহানগর, ঢাকা জেলা, ঢাকা বিভাগ, 1215, বাংলাদেশ",23.7643863,90.3890144,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139520,11243.07
"2025-11-06 14:02:28","Vancouver Island, British Columbia, Canada",49.5929495,-125.7025570,"Floreana, Las Américas, Guayaquil, Guayas, 090109, Ecuador",-2.2151675,-79.8933466,7231.54
"2025-11-24 13:08:51","St Anne Avenue, Town Centre, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2T3, Canada",49.2144744,-122.6032819,"Avenue 10, মিরপুর ডিওএইচএস, বাউনিয়া, ঢাকা, ঢাকা মহানগর, ঢাকা জেলা, ঢাকা বিভাগ, 1216, বাংলাদেশ",23.8394907,90.3750414,11259.2
"2025-12-01 13:07:53","ঢাকা, ঢাকা মহানগর, ঢাকা জেলা, ঢাকা বিভাগ, 1215, বাংলাদেশ",23.7643863,90.3890144,vancouver,49.2608724,-123.1139520,11243.07
"2025-12-05 05:34:26","Κύπρος - Kıbrıs",34.9823018,33.1451285,"ঢাকা, ঢাকা মহানগর, ঢাকা জেলা, ঢাকা বিভাগ, 1215, বাংলাদেশ",23.7657140,90.4230068,5612.76
"2025-12-05 05:51:24","Puerto Nare, Miraflores, Guaviare, RAP Amazonía, Colombia",0.8019757647536726,-72.28761997268498,"Birdsville Track, Clifton Hills Station, Birdsville, Diamantina Shire, Pastoral Unincorporated Area, South Australia, 5733, Australia",-26.936762457231424,139.42594202181627,15553.58
"2025-12-05 05:57:37","Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139520,"Burnaby, Metro Vancouver Regional District, British Columbia, Canada",49.2433804,-122.9725450,10.45
"2025-12-05 05:58:21","18.9855, 453.8571",18.98551900543658,453.8570518240386,"19.3176, 454.9945",19.317623351974174,454.9944529160314,125.05
"2025-12-05 05:58:30","Elko County, Nevada, United States",41.046216814520655,-114.93435194728531,"-9.0153, 144.9426",-9.015302333420586,144.94256615365657,11511.12
"2025-12-05 05:58:39","Alouvar, Salamat, Chad",11.609193407938953,19.048199874715827,"61.3125, -187.7280",61.312451574838214,-187.72802183482924,11573.06
"2025-12-05 05:58:59","Qikiqtaaluk Region, Nunavut, Canada",82.55200542142758,-74.14166624997786,"-84.7302, -68.8625",-84.73021576459855,-68.86246663385428,18602.4
"2025-12-05 05:59:06","Qikiqtaaluk Region, Nunavut, Canada",82.55200542142758,-74.14166624997786,"-84.7302, -68.8625",-84.73021576459855,-68.86246663385428,18602.4
"2025-12-05 05:59:23","Qikiqtaaluk Region, Nunavut, Canada",80.78916253086983,-72.44416915466198,"81.4401, 1045.1127",81.44013675935982,1045.1127332392316,637.51
"2025-12-07 22:26:25","-80.3559, 267.1090",-80.35587440874771,267.10897464788604,"84.5261, 288.3546",84.52606203933581,288.35460861877556,18360.77
"2025-12-07 22:27:07","муниципальный округ Эгвекинот, Chukotka Autonomous Okrug, Far Eastern Federal District, Russia",67.06577338257753,-179.33021940598812,"муниципальный округ Эгвекинот, Chukotka Autonomous Okrug, Far Eastern Federal District, Russia",66.54780370334456,179.7629025114586,69.96
"2025-12-10 21:34:26","10248, 5th Avenue South, Bloomington, Hennepin County, Minnesota, 55420, United States",44.81811001918497,-93.27028962759013,"Qijiaonjing Town, Yizhou District, Hami, Xinjiang, China",42.788514635399345,91.7240785758948,10261.07
"2026-05-11 22:53:38","Kaléné, Makary, Logone-et-Chari, Far-North, Cameroon",12.248759676234734,14.589843750000002,"Gökdepe District, Ahal Region, 745190, Turkmenistan",38.578231965833155,58.18359375,5194.77
